Case 1: Learning rate = 0.001

Sess 1/10000 1024 iters: loss 0.029476
Sess 2/10000 1024 iters: loss 0.030901
Sess 3/10000 1024 iters: loss 0.026915
Sess 4/10000 1024 iters: loss 0.026226
Sess 5/10000 1024 iters: loss 0.041743
Sess 6/10000 1024 iters: loss 0.020768
Sess 7/10000 1024 iters: loss 0.038530
Sess 8/10000 1024 iters: loss 0.040917
Sess 9/10000 1024 iters: loss 0.036392
Sess 10/10000 1024 iters: loss 0.060536
Sess 11/10000 1024 iters: loss 0.019686
Sess 12/10000 1024 iters: loss 0.026663
Sess 13/10000 1024 iters: loss 0.051193
Sess 14/10000 1024 iters: loss 0.033772
Sess 15/10000 1024 iters: loss 0.027841
Sess 16/10000 1024 iters: loss 0.019682
Sess 17/10000 1024 iters: loss 0.020259
Sess 18/10000 1024 iters: loss 0.037730
Sess 19/10000 1024 iters: loss 0.038401
Sess 20/10000 1024 iters: loss 0.044794
Sess 21/10000 1024 iters: loss 0.034611
Sess 22/10000 1024 iters: loss 0.035969
Sess 23/10000 1024 iters: loss 0.044422
Sess 24/10000 1024 iters: loss 0.023967
Sess 25/10000 1024 iters: loss 0.043161
Sess 26/10000 1024 iters: loss 0.031457
Sess 27/10000 1024 iters: loss 0.039800
Sess 28/10000 1024 iters: loss 0.043937
Sess 29/10000 1024 iters: loss 0.059291
Sess 30/10000 1024 iters: loss 0.048005
Sess 31/10000 1024 iters: loss 0.044936
Sess 32/10000 1024 iters: loss 0.030700
Sess 33/10000 1024 iters: loss 0.049724
Sess 34/10000 1024 iters: loss 0.027324
Sess 35/10000 1024 iters: loss 0.029385
Sess 36/10000 1024 iters: loss 0.041523
Sess 37/10000 1024 iters: loss 0.040953
Sess 38/10000 1024 iters: loss 0.038135
Sess 39/10000 1024 iters: loss 0.031175
Sess 40/10000 1024 iters: loss 0.027734
Sess 41/10000 1024 iters: loss 0.036928
Sess 42/10000 1024 iters: loss 0.031389
Sess 43/10000 1024 iters: loss 0.037092
Sess 44/10000 1024 iters: loss 0.030227
Sess 45/10000 1024 iters: loss 0.031346
Sess 46/10000 1024 iters: loss 0.038998
Sess 47/10000 1024 iters: loss 0.034583
Sess 48/10000 1024 iters: loss 0.035352
Sess 49/10000 1024 iters: loss 0.054988
Sess 50/10000 1024 iters: loss 0.043076
Sess 51/10000 1024 iters: loss 0.030269
Sess 52/10000 1024 iters: loss 0.029510
Sess 53/10000 1024 iters: loss 0.028374
Sess 54/10000 1024 iters: loss 0.027049
Sess 55/10000 1024 iters: loss 0.025686
Sess 56/10000 1024 iters: loss 0.029803
Sess 57/10000 1024 iters: loss 0.029271
Sess 58/10000 1024 iters: loss 0.043222
Sess 59/10000 1024 iters: loss 0.038069
Sess 60/10000 1024 iters: loss 0.032521
Sess 61/10000 1024 iters: loss 0.017470
Sess 62/10000 1024 iters: loss 0.023645
Sess 63/10000 1024 iters: loss 0.032856
Sess 64/10000 1024 iters: loss 0.029836
Sess 65/10000 1024 iters: loss 0.044894
Sess 66/10000 1024 iters: loss 0.031823
Sess 67/10000 1024 iters: loss 0.033064
Sess 68/10000 1024 iters: loss 0.056076
Sess 69/10000 1024 iters: loss 0.032621
Sess 70/10000 1024 iters: loss 0.030288
Sess 71/10000 1024 iters: loss 0.044508
Sess 72/10000 1024 iters: loss 0.029200
Sess 73/10000 1024 iters: loss 0.035987
Sess 74/10000 1024 iters: loss 0.034168
Sess 75/10000 1024 iters: loss 0.041813
Sess 76/10000 1024 iters: loss 0.032216
Sess 77/10000 1024 iters: loss 0.025670
Sess 78/10000 1024 iters: loss 0.034600
Sess 79/10000 1024 iters: loss 0.020184
Sess 80/10000 1024 iters: loss 0.026934
Sess 81/10000 1024 iters: loss 0.022385
Sess 82/10000 1024 iters: loss 0.041521
Sess 83/10000 1024 iters: loss 0.031713
Sess 84/10000 1024 iters: loss 0.034700
Sess 85/10000 1024 iters: loss 0.037800
Sess 86/10000 1024 iters: loss 0.054332
Sess 87/10000 1024 iters: loss 0.037653
Sess 88/10000 1024 iters: loss 0.036162
Sess 89/10000 1024 iters: loss 0.030525
Sess 90/10000 1024 iters: loss 0.035721
Sess 91/10000 1024 iters: loss 0.031053
Sess 92/10000 1024 iters: loss 0.027157
Sess 93/10000 1024 iters: loss 0.029995
